ROTO Header[281]*******.0.108:41620
MSG Header[257]0xbabeface-13-1797792923-1
Module Header[249]0x1-0-0:0-30-1-0
-SliceHead:0-1-0-0
-PacketHead:0xbabeface-25-8-217-Data:859256161-GCMNonce[0000001911828ecc35d1aeae]-281-189:*******
10-25 17:25:54.667|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:54.693|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:54.731|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:54.768|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:54.795|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:54.834|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:54.873|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:54.901|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:54.939|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:54.977|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:55.003|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.042|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.080|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:55.107|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.145|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.184|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:55.211|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.252|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.289|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:55.316|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.356|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.392|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:55.419|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.454|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.490|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:55.518|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.551|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.589|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:55.617|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.652|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.687|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:55.713|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.751|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.786|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:55.814|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.853|DownloadPkgScheduleFunc|2408|[I]:schedule: 6000/205000
type:0 req:507629270, rpt:1053
10-25 17:25:55.855|MagicLinkOtaGetReportInfo|3351|[I]:succ
10-25 17:25:55.857|CloudLinkMqttAsyncPublish|714|[I]:mqtt async pub
10-25 17:25:55.858|MagicLinkRptStatusToCloud|676|[I]:pub succ
10-25 17:25:55.859|ReportOtaServiceStatus|791|[I]:succ
10-25 17:25:55.861|ConnectionHttpSend|143|[I]:senub
cc
10-25 17:25:55.862|LocalCmdProcess|966|[I]:mqtt pub
10-25 17:25:55.895|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:55.921|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.930|CloudLinkMqttPublish|1372|[I]:ret:0 qos:1,packetId:53
10-25 17:25:55.962|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:55.997|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:56.024|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:56.060|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:56.097|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:56.124|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:56.165|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:56.198|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:56.224|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:56.923|HeartbeatTimeoutFunc|252|[I]:hb lost:0
10-25 17:25:56.925|SendMqttHeartbeat|213|[I]:succ
magiclink sdk: recv mqtt ping response
10-25 17:25:57.463|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:57.498|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:57.525|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:57.564|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:57.597|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:25:57.624|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:57.660|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:57.862|ConnectDispatchFunc|83|[I]:running
10-25 17:25:58.853|DownloadPkgScheduleFunc|2408|[I]:schedule: 9000/205000
type:0 req:1996043741, rpt:1054
10-25 17:25:58.855|MagicLinkOtaGetReportInfo|3351|[I]:succ
10-25 17:25:58.857|CloudLinkMqttAsyncPublish|714|[I]:mqtt async pub
10-25 17:25:58.858|MagicLinkRptStatusToCloud|676|[I]:pub succ
10-25 17:25:58.858|ReportOtaServiceStatus|791|[I]:succ
10-25 17:25:58.862|LocalCmdProcess|966|[I]:mqtt pub
10-25 17:25:58.923|CloudLinkMqttPublish|1372|[I]:ret:0 qos:1,packetId:54
